Gene	FB_1	FB_2	HSC_1	HSC_2	TREG_1	TREG_2
Xkr4	2	0	0	0	0	0
Gm19938	0	6	0	0	0	0
Gm10568	0	0	0	0	0	0
Rp1	0	0	0	2	2	0
Sox17	0	0	0	0	0	0
Mrpl15	3846	6670	9704	9234	8823	11794
Lypla1	4657	7445	10893	11164	9655	13062
Gm19860	9	14	9	2	11	7
Tcea1	5527	9391	13404	11518	8184	12701
Rgs20	0	3	8	0	0	0
Atp6v1h	6710	10088	12347	13620	9658	13501
Oprk1	0	2	0	0	0	0
Npbwr1	0	6	0	0	0	0
Rb1cc1	3382	5954	8029	12773	4386	7085
Alkal1	0	0	0	4	0	0
St18	0	8	0	8	0	0
Pcmtd1	2555	5491	6594	6960	3137	4861
Sntg1	0	8	0	0	0	0
Rrs1	3538	6222	9313	9298	5045	6594
Adhfe1	0	10	230	139	11	89
2610203C22Rik	0	2	0	0	2	0
Vxn	0	2	0	0	0	0
Mybl1	0	2	34	37	10	18
Vcpip1	2221	4167	4198	4737	2549	4257
1700034P13Rik	0	8	28	10	1	27
Sgk3	4330	6626	10354	8162	3168	4544
Mcmdc2	7	6	31	4	0	2
Snhg6	194	650	1335	1323	629	984
Snord87	2	46	50	72	15	37
Tcf24	0	0	0	6	0	3
Ppp1r42	0	2	53	0	4	0
Cops5	3314	5613	11255	9969	6547	9832
Cspp1	829	1664	1564	1972	903	1358
Arfgef1	4885	8366	6591	8507	4368	6866
Cpa6	0	0	0	0	0	0
Prex2	0	9	510	933	2	0
A830018L16Rik	0	9	0	0	0	0
Gm17644	0	2	0	0	0	0
Sulf1	0	0	0	0	43	7
Slco5a1	245	112	4	25	6	2
Prdm14	0	0	0	0	0	0
Ncoa2	1094	3318	3011	4524	2515	6215
Tram1	31743	47886	61709	54270	39606	53931
Lactb2	507	1036	2573	2929	1745	2871
Xkr9	0	0	0	0	0	0
Gm5523	2	4	4	14	4	4
Eya1	576	714	5531	5259	2	0
Msc	0	0	0	0	0	2
Trpa1	0	3	0	0	0	0
Kcnb2	0	2	8	2	0	0
Terf1	1756	3892	4551	4765	3190	4943
Sbspon	0	4	163	221	2	16
